description	log10pvalue	representative
camera-type eye morphogenesis	2.43	camera-type eye morphogenesis
cell morphogenesis	1.3731	camera-type eye morphogenesis
epithelial cell morphogenesis	2.2155	camera-type eye morphogenesis
protein maturation	1.4978	protein maturation
protein processing	1.5534	protein maturation
establishment or maintenance of bipolar cell polarity	1.8946	establishment or maintenance of bipolar cell polarity
cell-cell signaling	1.343	establishment or maintenance of bipolar cell polarity
actin filament organization	1.5583	establishment or maintenance of bipolar cell polarity
establishment or maintenance of cell polarity	1.4978	establishment or maintenance of bipolar cell polarity
negative regulation of secretion	1.7927	negative regulation of secretion
negative regulation of transport	1.395	negative regulation of secretion
